be, 28642
up, 8817
only, 4014
upon, 4268
we, 14805
our, 4189
of, 120988
his, 34979
out, 9555
with, 35591
good, 4632
from, 9677
has, 5190
its, 4569
man, 5267
made, 4046
not, 35143
said, 8434
have, 24625
my, 27231
now, 6620
them, 8420
will, 11925
but, 33450
on, 14420
then, 8214
thy, 4034
time, 6294
all, 17862
could, 6932
or, 8943
two, 4569
well, 4707
what, 11898
and, 173736
for, 38163
if, 8121
to, 117808
day, 4147
about, 6602
by, 16919
do, 6673
like, 4581
was, 51391
one, 12049
they, 15132
in, 71671
little, 4027
other, 4805
a, 102849
an, 8608
know, 4472
these, 4041
thou, 5549
her, 24775
you, 44829
d, 8961
got, 4178
is, 40065
she, 21263
their, 6455
it, 70040
no, 10070
as, 30151
at, 19302
when, 8838
who, 4776
he, 48116
i, 84472
would, 9846
so, 20927
some, 4610
see, 4954
any, 5268
been, 6196
down, 5065
me, 18072
this, 20203
had, 24620
the, 211836
which, 7996
are, 7997
into, 4294
that, 61391
your, 11301
never, 4034
did, 4556
more, 4800
s, 28481
were, 9940
can, 5106
t, 12711
there, 11846
him, 18009
